;Character;IB15304245v;btv1b8455783p;IB15304274v;btv1b84473026;SBB-PK-Hdschr25;btv1b90615126;btv1b8433319z;btv1b100361755;btv1b55006072j;Arras-861;btv1b8447298r;btv1b525068331;btv1b90590259;btv1b8446940n
0;&;;;;;;;;;;;21.0;;;
1;-;;;;;;;;;;;;;;1.0
2;.;;56.0;;;;45.0;;6.0;;;28.0;34.0;;
3;2;;;;;;;;;;;;;;
4;3;;;;;;;;;;;;;;
5;:;;1.0;;;;;;;2.0;10.0;7.0;;;
6;";";;1.0;;;;;;;;;2.0;;;
7;A;;;;;2.0;;4.0;2.0;5.0;5.0;;;;
8;B;;;;;;;;;;;;;;
9;C;1.0;;;1.0;;;1.0;3.0;;;;;;
10;D;;;;3.0;2.0;;;1.0;;2.0;;;;
11;E;14.0;;4.0;1.0;;;7.0;6.0;9.0;5.0;;;;
12;F;;;;;;;;;;1.0;;;;
13;G;;;;1.0;;;;;;;;;;
14;H;;;;;;;;;;;;;;
15;I;;;;;;;4.0;;;2.0;;;;1.0
16;L;;;7.0;;;;4.0;;;1.0;;;1.0;
17;M;1.0;;;;;;;1.0;1.0;1.0;;;1.0;
18;N;;;;;;;;5.0;;4.0;;;1.0;
19;O;1.0;;;;;;4.0;5.0;;1.0;;;;
20;P;;;;2.0;;;;;1.0;;;;;
21;Q;;;;;1.0;;;1.0;5.0;4.0;;;;
22;R;;;1.0;;;;;25.0;;;;;;
23;S;;;;;;;3.0;4.0;5.0;4.0;;;1.0;
24;T;;;;;;;1.0;1.0;2.0;2.0;;;;
25;U;;;;;;;2.0;;;;;;;
26;V;;;;;;;;;;;;;;
27;W;;;;;;;;;;;;;;
28;a;296.0;164.0;134.0;93.0;40.0;105.0;192.0;276.0;126.0;181.0;184.0;81.0;33.0;187.0
29;b;17.0;21.0;32.0;10.0;6.0;26.0;5.0;29.0;17.0;22.0;18.0;16.0;3.0;30.0
30;c;81.0;74.0;48.0;39.0;16.0;49.0;95.0;76.0;70.0;75.0;95.0;38.0;7.0;69.0
31;d;125.0;72.0;81.0;43.0;19.0;48.0;63.0;152.0;80.0;95.0;86.0;42.0;15.0;63.0
32;e;274.0;470.0;181.0;245.0;72.0;286.0;173.0;352.0;360.0;208.0;478.0;196.0;51.0;158.0
33;f;23.0;23.0;13.0;12.0;5.0;23.0;18.0;29.0;9.0;21.0;44.0;12.0;4.0;20.0
34;g;19.0;22.0;20.0;16.0;3.0;27.0;23.0;22.0;8.0;17.0;45.0;15.0;4.0;22.0
35;h;17.0;32.0;5.0;17.0;2.0;15.0;24.0;7.0;26.0;19.0;24.0;6.0;8.0;8.0
36;i;131.0;203.0;76.0;96.0;64.0;161.0;178.0;142.0;92.0;260.0;227.0;66.0;45.0;267.0
37;j;;5.0;;1.0;1.0;3.0;;;;2.0;13.0;1.0;;
38;k;;;;;;;;;;;31.0;2.0;;
39;l;137.0;141.0;86.0;63.0;7.0;98.0;111.0;169.0;84.0;83.0;149.0;89.0;29.0;64.0
40;m;51.0;74.0;34.0;39.0;29.0;57.0;42.0;59.0;46.0;67.0;61.0;35.0;8.0;48.0
41;n;160.0;197.0;101.0;64.0;40.0;104.0;63.0;156.0;135.0;97.0;143.0;79.0;26.0;67.0
42;o;235.0;170.0;155.0;80.0;32.0;130.0;132.0;273.0;81.0;107.0;121.0;77.0;29.0;119.0
43;p;62.0;59.0;25.0;38.0;18.0;29.0;38.0;36.0;48.0;28.0;51.0;33.0;8.0;41.0
44;q;50.0;31.0;24.0;16.0;4.0;27.0;8.0;32.0;22.0;40.0;30.0;11.0;7.0;37.0
45;r;127.0;178.0;77.0;74.0;37.0;127.0;89.0;132.0;119.0;94.0;158.0;51.0;24.0;86.0
46;s;164.0;270.0;121.0;128.0;45.0;146.0;56.0;231.0;137.0;136.0;214.0;120.0;26.0;130.0
47;t;67.0;186.0;43.0;96.0;46.0;139.0;90.0;89.0;179.0;193.0;147.0;71.0;19.0;185.0
48;u;116.0;103.0;69.0;87.0;49.0;90.0;73.0;132.0;166.0;175.0;139.0;71.0;40.0;151.0
49;v;3.0;33.0;;13.0;8.0;1.0;;;;;66.0;7.0;;
50;x;9.0;;;3.0;3.0;3.0;;3.0;7.0;14.0;;;3.0;8.0
51;y;17.0;;6.0;4.0;;1.0;1.0;51.0;17.0;;4.0;1.0;;1.0
52;z;18.0;18.0;8.0;13.0;;13.0;;9.0;4.0;;29.0;5.0;5.0;